canyon,mtnrange,elev_range,riparian_fragmentation,canyon_area,riparian_ cover,sagebrush_cover,rabbitbrush_cover,terrain_ruggedness_100,terrain_ruggedness_500,canopy_cover_100,canopy_cover_500,canyon_bottom_100,canyon_bottom_500,2001_total_precip_MarAprMay,2002_total_precip_MarAprMay,2003_total_precip_MarAprMay,2004_total_precip_MarAprMay,2005_total_precip_MarAprMay,2006_total_precip_MarAprMay,2007_total_precip_MarAprMay,2008_total_precip_MarAprMay,2009_total_precip_MarAprMay,2010_total_precip_MarAprMay,2011_total_precip_MarAprMay,2012_total_precip_MarAprMay,2013_total_precip_MarAprMay,2014_total_precip_MarAprMay,2015_total_precip_MarAprMay,2001_maxtemp_MarAprMay,2002_maxtemp_MarAprMay,2003_maxtemp_MarAprMay,2004_maxtemp_MarAprMay,2005_maxtemp_MarAprMay,2006_maxtemp_MarAprMay,2007_maxtemp_MarAprMay,2008_maxtemp_MarAprMay,2009_maxtemp_MarAprMay,2010_maxtemp_MarAprMay,2011_maxtemp_MarAprMay,2012_maxtemp_MarAprMay,2013_maxtemp_MarAprMay,2014_maxtemp_MarAprMay,2015_maxtemp_MarAprMay,2001_mintemp_MarAprMay,2002_mintemp_MarAprMay,2003_mintemp_MarAprMay,2004_mintemp_MarAprMay,2005_mintemp_MarAprMay,2006_mintemp_MarAprMay,2007_mintemp_MarAprMay,2008_mintemp_MarAprMay,2009_mintemp_MarAprMay,2010_mintemp_MarAprMay,2011_mintemp_MarAprMay,2012_mintemp_MarAprMay,2013_mintemp_MarAprMay,2014_mintemp_MarAprMay,2015_mintemp_MarAprMay,2001_mean_maxtemp_MarAprMay,2002_mean_maxtemp_MarAprMay,2003_mean_maxtemp_MarAprMay,2004_mean_maxtemp_MarAprMay,2005_mean_maxtemp_MarAprMay,2006_mean_maxtemp_MarAprMay,2007_mean_maxtemp_MarAprMay,2008_mean_maxtemp_MarAprMay,2009_mean_maxtemp_MarAprMay,2010_mean_maxtemp_MarAprMay,2011_mean_maxtemp_MarAprMay,2012_mean_maxtemp_MarAprMay,2013_mean_maxtemp_MarAprMay,2014_mean_maxtemp_MarAprMay,2015_mean_maxtemp_MarAprMay,2001_mean_mintemp_MarAprMay,2002_mean_mintemp_MarAprMay,2003_mean_mintemp_MarAprMay,2004_mean_mintemp_MarAprMay,2005_mean_mintemp_MarAprMay,2006_mean_mintemp_MarAprMay,2007_mean_mintemp_MarAprMay,2008_mean_mintemp_MarAprMay,2009_mean_mintemp_MarAprMay,2010_mean_mintemp_MarAprMay,2011_mean_mintemp_MarAprMay,2012_mean_mintemp_MarAprMay,2013_mean_mintemp_MarAprMay,2014_mean_mintemp_MarAprMay,2015_mean_mintemp_MarAprMay
Wallace,Monitor,321,1501,2444.84,0.12,0.36,0.19,244.993,256.042,0.296,0.365,0.172,0.039,79.42461538,70.06384615,115.1015385,59.12307692,155.8761538,116.88,75.59538462,40.56230769,87.92,108.3376923,134.9938462,70.68769231,44.29384615,83.66230769,98.41615385,20.44615385,16.3,16.67692308,17.20769231,15.45384615,18.20769231,18.61538462,14.66923077,18.93846154,11.88461538,12.31538462,18.05384615,16.58461538,16.97692308,14.20769231,-3.523076923,-7.292307692,-5.207692308,-1.669230769,-4.269230769,-7.676923077,-3.115384615,-5.923076923,-5.484615385,-5.738461538,-5.284615385,-3.961538462,-2.453846154,-3.476923077,-2.430769231,12.73,11.53,11.19,13.67,11.00,11.23,13.68,11.26,12.16,9.30,9.46,13.23,12.51,12.58,12.48,-0.82,-2.60,-1.89,0.01,-1.31,-1.74,-0.36,-3.17,-1.46,-3.69,-2.95,-0.81,-0.96,-0.71,-0.52
Washington,Toiyabe,487,1,1344.11,0.323,0.28,0.03,333.099,350.222,0.477,0.391,0.240,0.068,132.3513333,129.4653333,186.7393333,101.9766667,256.0646667,185.6206667,141.3593333,81.11133333,161.8606667,174.266,226.436,113.1993333,73.27,128.7653333,138.9953333,18.35333333,14.28666667,14.68,15.14,14.12,16.24,16.64,12.49333333,17.28,9.893333333,11.17333333,15.9,14.83333333,15.34666667,12.48,-3.266666667,-7.026666667,-5.066666667,-0.48,-3.46,-6.906666667,-1.926666667,-4.82,-4.826666667,-4.6,-4.106666667,-2.933333333,-3.046666667,-2.213333333,-1.84,11.09,9.94,9.22,12.21,10.09,9.85,12.22,9.66,10.87,8.16,8.46,11.65,10.96,11.40,11.03,-0.38,-2.15,-2.04,0.88,-0.70,-0.97,0.38,-2.18,-0.77,-3.13,-2.43,0.19,-0.39,0.31,0.25
WhiteSage,Monitor,314,7446,2157.46,0,0.69,0.28,184.034,213.673,0.098,0.245,0.692,0.281,75.01833333,58.46666667,102.4866667,50.97,138.9783333,106.2583333,66.205,34.54333333,76.495,96.01,119.2533333,63.15833333,39.535,75.22,91.14833333,21.33333333,17.43333333,17.7,18.33333333,16.48333333,19.15,19.65,15.65,20.11666667,13.15,13.53333333,19.03333333,17.65,18.03333333,15.15,-3.683333333,-7.3,-5.183333333,-1.95,-4.4,-7.8,-3.433333333,-6.2,-5.716666667,-6.083333333,-5.65,-4.35,-2.7,-3.783333333,-2.566666667,13.59,12.58,12.16,14.78,11.94,12.08,14.66,12.32,13.27,10.24,10.57,14.30,13.59,13.63,13.53,-0.93,-2.56,-1.82,-0.16,-1.39,-1.86,-0.58,-3.42,-1.58,-3.90,-3.06,-1.15,-1.25,-0.99,-0.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
