transect,canyon,range,transect_area,elev_mean,tri_Riley,precip_1995,precip_1996,precip_1997,precip_1998,precip_1999,precip_2000,precip_2001,precip_2002,precip_2003,precip_2004,precip_2005,precip_2006,precip_2007,precip_2008,precip_2009,precip_2010,precip_2011,precip_2012,precip_2013,precip_2014,maxtemp_1995,maxtemp_1996,maxtemp_1997,maxtemp_1998,maxtemp_1999,maxtemp_2000,maxtemp_2001,maxtemp_2002,maxtemp_2003,maxtemp_2004,maxtemp_2005,maxtemp_2006,maxtemp_2007,maxtemp_2008,maxtemp_2009,maxtemp_2010,maxtemp_2011,maxtemp_2012,maxtemp_2013,maxtemp_2014,mintemp_1995,mintemp_1996,mintemp_1997,mintemp_1998,mintemp_1999,mintemp_2000,mintemp_2001,mintemp_2002,mintemp_2003,mintemp_2004,mintemp_2005,mintemp_2006,mintemp_2007,mintemp_2008,mintemp_2009,mintemp_2010,mintemp_2011,mintemp_2012,mintemp_2013,mintemp_2014,nectar_2013,nectar_2014,mud_2013,mud_2014
JE01,Jett,Toiyabe,8.12419,1954,686.21,313.95,187.97,264.69,347.99,232.16,188.2,176.26,123.7,203.21,154.7,315.21,201.66,160.29,124.2,200.14,176.27,260.36,172.19,150.87,218.68,15.76,18.57,16.81,15.47,16.15,18.76,16.91,17.65,17.81,17.31,16.33,17.41,17.66,16.74,17.27,15.84,16.35,17.91,17.55,17.78,0.98,1.88,1.75,1.08,0.77,1.57,1.04,1.24,1.68,1.40,1.43,1.77,1.48,0.79,1.53,0.49,1.46,1.96,1.92,2.15,2,2,2,2
JE02,Jett,Toiyabe,7.55438,2047,627.53,678.16,390.91,568.45,693.17,476.49,391.15,338.57,319.78,433.84,341.13,622.31,453.15,374.13,302.24,462.27,375.15,572.52,325.88,331.71,436.39,11.33,13.87,12.35,11.03,11.63,14.09,12.77,13.20,13.10,13.28,12.33,13.27,13.58,12.95,13.28,12.23,12.26,13.58,13.25,13.54,-0.52,0.65,0.25,-0.32,-0.57,1.00,0.11,0.25,0.73,1.33,1.17,1.48,1.48,0.47,1.26,0.13,0.76,1.84,1.39,2.03,2,3,3,3
JE03,Jett,Toiyabe,7.51493,2139,651.47,678.16,390.91,568.45,693.17,476.49,391.15,338.57,319.78,433.84,341.13,622.31,453.15,374.13,302.24,462.27,375.15,572.52,325.88,331.71,436.39,11.33,13.87,12.35,11.03,11.63,14.09,12.77,13.20,13.10,13.28,12.33,13.27,13.58,12.95,13.28,12.23,12.26,13.58,13.25,13.54,-0.52,0.65,0.25,-0.32,-0.57,1.00,0.11,0.25,0.73,1.33,1.17,1.48,1.48,0.47,1.26,0.13,0.76,1.84,1.39,2.03,2,2,3,3
JE04,Jett,Toiyabe,5.65864,2248,746.83,678.16,390.91,568.45,693.17,476.49,391.15,338.57,319.78,433.84,341.13,622.31,453.15,374.13,302.24,462.27,375.15,572.52,325.88,331.71,436.39,11.33,13.87,12.35,11.03,11.63,14.09,12.77,13.20,13.10,13.28,12.33,13.27,13.58,12.95,13.28,12.23,12.26,13.58,13.25,13.54,-0.52,0.65,0.25,-0.32,-0.57,1.00,0.11,0.25,0.73,1.33,1.17,1.48,1.48,0.47,1.26,0.13,0.76,1.84,1.39,2.03,1,2,3,2
JE3D,Jett,Toiyabe,2.77638,2139,694.30,678.16,390.91,568.45,693.17,476.49,391.15,338.57,319.78,433.84,341.13,622.31,453.15,374.13,302.24,462.27,375.15,572.52,325.88,331.71,436.39,11.33,13.87,12.35,11.03,11.63,14.09,12.77,13.20,13.10,13.28,12.33,13.27,13.58,12.95,13.28,12.23,12.26,13.58,13.25,13.54,-0.52,0.65,0.25,-0.32,-0.57,1.00,0.11,0.25,0.73,1.33,1.17,1.48,1.48,0.47,1.26,0.13,0.76,1.84,1.39,2.03,,,,
JF01,Jefferson,Toquima,11.8008,2079,688.82,357.63,207.75,300.74,393.2,259.34,210.06,195.57,148.08,230.13,182.86,362.97,227.84,188.97,147.33,236.21,202.44,310.15,192.53,175.26,246.12,14.74,17.49,15.74,14.45,15.14,17.61,15.93,16.57,16.84,16.23,15.36,16.43,16.63,15.83,16.19,14.99,15.40,16.78,16.38,16.63,0.60,1.54,1.23,0.68,0.58,1.66,0.84,1.19,1.73,1.43,1.29,1.66,1.55,0.58,1.45,0.33,0.95,2.15,2.13,2.41,,,,
JF02,Jefferson,Toquima,10.2865,2191,728.74,505.71,299.73,426.21,542.79,361.95,295.4,266.45,229.37,319.27,263.92,501.4,340.12,289.8,222.26,357.13,290.56,457.7,267.72,260.35,337.06,13.11,15.79,14.11,12.81,13.48,15.88,14.39,14.95,15.13,14.68,13.83,14.84,15.07,14.36,14.67,13.53,13.85,15.11,14.74,14.98,-0.60,0.36,-0.06,-0.48,-0.55,0.82,-0.12,0.19,0.74,0.79,0.62,1.05,1.08,0.04,0.83,-0.31,0.18,1.59,1.45,1.68,,,,
JF03,Jefferson,Toquima,8.32446,2298,739.95,680.97,422.66,571,721.87,483.11,398.51,356.12,327.41,425.21,358.89,667.76,483.62,408.68,315.47,503.95,400.8,633.75,362.46,366.01,444.01,11.43,14.04,12.46,11.17,11.78,14.17,12.78,13.29,13.38,13.13,12.30,13.22,13.47,12.80,13.08,11.99,12.28,13.46,13.05,13.32,-1.76,-0.86,-1.30,-1.63,-1.76,-0.37,-1.22,-0.96,-0.47,-0.14,-0.30,0.14,0.28,-0.78,-0.01,-1.19,-0.67,0.66,0.48,0.77,,,,
JF04,Jefferson,Toquima,5.21023,2420,751.50,680.97,422.66,571,721.87,483.11,398.51,356.12,327.41,425.21,358.89,667.76,483.62,408.68,315.47,503.95,400.8,633.75,362.46,366.01,444.01,11.43,14.04,12.46,11.17,11.78,14.17,12.78,13.29,13.38,13.13,12.30,13.22,13.47,12.80,13.08,11.99,12.28,13.46,13.05,13.32,-1.76,-0.86,-1.30,-1.63,-1.76,-0.37,-1.22,-0.96,-0.47,-0.14,-0.30,0.14,0.28,-0.78,-0.01,-1.19,-0.67,0.66,0.48,0.77,,,,
JF05,Jefferson,Toquima,8.2859,2529,774.83,680.97,422.66,571,721.87,483.11,398.51,356.12,327.41,425.21,358.89,667.76,483.62,408.68,315.47,503.95,400.8,633.75,362.46,366.01,444.01,11.43,14.04,12.46,11.17,11.78,14.17,12.78,13.29,13.38,13.13,12.30,13.22,13.47,12.80,13.08,11.99,12.28,13.46,13.05,13.32,-1.76,-0.86,-1.30,-1.63,-1.76,-0.37,-1.22,-0.96,-0.47,-0.14,-0.30,0.14,0.28,-0.78,-0.01,-1.19,-0.67,0.66,0.48,0.77,,,,
JF06,Jefferson,Toquima,4.90854,2618,745.56,680.97,422.66,571,721.87,483.11,398.51,356.12,327.41,425.21,358.89,667.76,483.62,408.68,315.47,503.95,400.8,633.75,362.46,366.01,444.01,11.43,14.04,12.46,11.17,11.78,14.17,12.78,13.29,13.38,13.13,12.30,13.22,13.47,12.80,13.08,11.99,12.28,13.46,13.05,13.32,-1.76,-0.86,-1.30,-1.63,-1.76,-0.37,-1.22,-0.96,-0.47,-0.14,-0.30,0.14,0.28,-0.78,-0.01,-1.19,-0.67,0.66,0.48,0.77,,,,
KI01,Kingston,Toiyabe,7.14193,1986,637.31,628.39,333.5,471.68,690.1,441.98,337.56,312.66,325.38,382.78,336.3,493.53,393.69,371.59,273.3,407.67,338.84,511.04,278.64,290.07,399.53,11.61,14.24,12.71,11.70,12.53,15.02,13.72,14.13,13.75,13.76,13.11,14.24,14.32,13.55,14.29,13.11,13.04,14.42,13.73,14.14,0.89,2.10,1.58,1.05,1.07,2.52,1.70,1.87,2.23,2.58,2.47,2.82,2.62,1.48,2.68,1.50,2.03,3.06,2.53,3.18,,,,
KI02,Kingston,Toiyabe,7.27314,2082,657.91,628.39,333.5,471.68,690.1,441.98,337.56,312.66,325.38,382.78,336.3,493.53,393.69,371.59,273.3,407.67,338.84,511.04,278.64,290.07,399.53,11.61,14.24,12.71,11.70,12.53,15.02,13.72,14.13,13.75,13.76,13.11,14.24,14.32,13.55,14.29,13.11,13.04,14.42,13.73,14.14,0.89,2.10,1.58,1.05,1.07,2.52,1.70,1.87,2.23,2.58,2.47,2.82,2.62,1.48,2.68,1.50,2.03,3.06,2.53,3.18,,,,
KI03,Kingston,Toiyabe,10.6765,2189,690.09,628.39,333.5,471.68,690.1,441.98,337.56,312.66,325.38,382.78,336.3,493.53,393.69,371.59,273.3,407.67,338.84,511.04,278.64,290.07,399.53,11.61,14.24,12.71,11.70,12.53,15.02,13.72,14.13,13.75,13.76,13.11,14.24,14.32,13.55,14.29,13.11,13.04,14.42,13.73,14.14,0.89,2.10,1.58,1.05,1.07,2.52,1.70,1.87,2.23,2.58,2.47,2.82,2.62,1.48,2.68,1.50,2.03,3.06,2.53,3.18,,,,
KI04,Kingston,Toiyabe,22.6384,2274,688.35,822.19,457.2,577.84,871.97,549.14,415.55,419.1,419.36,489.97,455.17,606.29,511.03,480.57,371.6,559.82,465.33,686.06,352.53,403.62,479.04,10.28,12.88,11.42,10.46,10.98,13.31,12.33,12.57,12.24,12.61,12.00,13.14,13.22,12.39,12.90,11.92,11.87,13.23,12.53,12.96,1.11,2.38,1.77,1.21,1.08,2.62,1.83,1.78,2.18,2.53,2.43,2.92,2.78,1.74,2.80,1.50,2.02,3.13,2.46,3.22,,,,
KI05,Kingston,Toiyabe,18.3168,2357,751.12,843.79,473.7,572.52,882.91,553.96,411.98,435.61,427.49,500.38,469.66,607.06,514.59,482.1,387.6,583.18,491.48,715.77,358.4,422.65,474.97,9.85,12.52,11.03,10.11,10.48,12.71,11.79,12.01,11.73,12.28,11.72,12.88,12.88,12.05,12.42,11.54,11.61,12.98,12.21,12.64,0.95,2.15,1.55,1.03,0.90,2.36,1.73,1.75,2.11,2.41,2.38,2.83,2.54,1.53,2.66,1.37,1.98,3.01,2.30,3.10,,,,
KI06,Kingston,Toiyabe,5.158,2466,748.58,886.71,498.1,589.79,938.53,576.84,425.46,459.25,447.3,519.7,494.77,625.86,534.92,504.94,409.71,618.24,520.68,762,371.86,448.3,488.69,8.66,11.35,9.85,8.93,9.35,11.55,10.54,10.80,10.46,11.24,10.60,11.70,11.73,10.96,11.38,10.52,10.54,11.89,11.12,11.53,-0.19,1.10,0.42,-0.14,-0.28,1.33,0.78,0.87,1.11,1.60,1.50,2.03,1.99,0.95,1.94,0.70,1.13,2.16,1.33,2.31,,,,
KI07,Kingston,Toiyabe,3.40961,2580,794.19,886.71,498.1,589.79,938.53,576.84,425.46,459.25,447.3,519.7,494.77,625.86,534.92,504.94,409.71,618.24,520.68,762,371.86,448.3,488.69,8.66,11.35,9.85,8.93,9.35,11.55,10.54,10.80,10.46,11.24,10.60,11.70,11.73,10.96,11.38,10.52,10.54,11.89,11.12,11.53,-0.19,1.10,0.42,-0.14,-0.28,1.33,0.78,0.87,1.11,1.60,1.50,2.03,1.99,0.95,1.94,0.70,1.13,2.16,1.33,2.31,,,,
MD01,Meadow,Toquima,20.6106,2292,741.35,568.18,342.39,463.81,612.38,402.34,327.15,302.77,265.69,354.07,299.71,565.9,391.15,332.98,254.75,416.56,331.73,526.29,306.84,296.93,371.86,12.36,15.09,13.41,12.08,12.81,15.17,13.61,14.25,14.45,13.88,13.03,14.08,14.33,13.56,13.88,12.67,13.05,14.35,13.90,14.18,-1.62,-0.53,-0.92,-1.48,-1.42,-0.10,-1.15,-0.64,-0.13,-0.40,-0.58,-0.19,-0.17,-1.19,-0.40,-1.44,-1.16,0.68,0.60,0.78,1,1,1,1
MD02,Meadow,Toquima,17.8552,2388,721.59,663.72,412.24,545.34,707.66,469.91,386.82,350.77,318,415.29,349.26,657.1,469.15,396.51,307.59,491,391.43,621.53,353.06,349.5,429.77,11.60,14.27,12.63,11.31,11.98,14.35,12.88,13.47,13.62,13.19,12.37,13.34,13.62,12.91,13.18,12.03,12.37,13.58,13.18,13.45,-2.23,-1.16,-1.57,-2.12,-2.10,-0.77,-1.71,-1.34,-0.83,-0.79,-0.96,-0.53,-0.40,-1.41,-0.75,-1.86,-1.38,0.13,-0.03,0.20,3,1,2,1
MD03,Meadow,Toquima,4.7443,2479,649.37,707.38,443.99,592.85,752.09,499.6,410.98,370.08,342.15,437.63,374.14,695.46,513.34,423.66,330.95,532.64,417.31,659.64,373.9,383.04,455.67,11.17,13.83,12.19,10.90,11.57,13.92,12.49,13.05,13.16,12.82,11.99,12.97,13.24,12.51,12.79,11.68,12.00,13.25,12.82,13.08,-2.48,-1.42,-1.87,-2.35,-2.38,-0.98,-1.93,-1.60,-1.10,-0.98,-1.16,-0.68,-0.58,-1.64,-0.89,-2.03,-1.57,-0.16,-0.39,-0.07,2,1,1,1
MD04,Meadow,Toquima,4.37002,2577,763.52,663.72,412.24,545.34,707.66,469.91,386.82,350.77,318,415.29,349.26,657.1,469.15,396.51,307.59,491,391.43,621.53,353.06,349.5,429.77,11.60,14.27,12.63,11.31,11.98,14.35,12.88,13.47,13.62,13.19,12.37,13.34,13.62,12.91,13.18,12.03,12.37,13.58,13.18,13.45,-2.23,-1.16,-1.57,-2.12,-2.10,-0.77,-1.71,-1.34,-0.83,-0.79,-0.96,-0.53,-0.40,-1.41,-0.75,-1.86,-1.38,0.13,-0.03,0.20,2,1,0,1
MD05,Meadow,Toquima,13.1934,2675,853.31,680.97,422.66,571,721.87,483.11,398.51,356.12,327.41,425.21,358.89,667.76,483.62,408.68,315.47,503.95,400.8,633.75,362.46,366.01,444.01,11.43,14.04,12.46,11.17,11.78,14.17,12.78,13.29,13.38,13.13,12.30,13.22,13.47,12.80,13.08,11.99,12.28,13.46,13.05,13.32,-1.76,-0.86,-1.30,-1.63,-1.76,-0.37,-1.22,-0.96,-0.47,-0.14,-0.30,0.14,0.28,-0.78,-0.01,-1.19,-0.67,0.66,0.48,0.77,2,2,0,0
ME01,MooresEast,Toquima,11.3697,2211,564.64,408.42,223.01,336.53,443.76,293.12,229.86,222.74,183.91,250.18,212.83,402.58,263.66,225.3,171.72,285.23,233.93,355.85,215.65,206,273.04,13.74,16.62,14.88,13.63,14.30,16.79,15.06,15.73,15.95,15.39,14.44,15.63,15.78,14.83,15.37,14.04,14.48,16.13,15.47,15.80,-1.68,-1.01,-1.03,-1.65,-1.96,-1.10,-1.63,-1.42,-0.88,-1.21,-1.15,-1.07,-1.48,-2.28,-1.41,-2.51,-1.33,-0.89,-0.78,-0.69,1,1,0,1
ME02,MooresEast,Toquima,10.5805,2293,698.13,542.29,314.44,442.2,583.69,388.13,311.66,290.3,268.75,330.47,286.51,516.12,367.29,314.71,241.3,395.48,319.03,486.15,285.74,277.88,351.53,12.13,14.86,13.14,11.89,12.61,14.97,13.49,14.03,14.25,13.68,12.88,13.98,14.20,13.47,13.76,12.56,12.94,14.25,13.76,14.07,-0.50,0.54,0.14,-0.35,-0.30,1.03,-0.02,0.45,0.98,0.92,0.71,1.10,1.08,0.00,0.92,-0.16,0.20,1.68,1.42,1.75,1,1,0,1
ME03,MooresEast,Toquima,9.33606,2393,736.86,542.29,314.44,442.2,583.69,388.13,311.66,290.3,268.75,330.47,286.51,516.12,367.29,314.71,241.3,395.48,319.03,486.15,285.74,277.88,351.53,12.13,14.86,13.14,11.89,12.61,14.97,13.49,14.03,14.25,13.68,12.88,13.98,14.20,13.47,13.76,12.56,12.94,14.25,13.76,14.07,-0.50,0.54,0.14,-0.35,-0.30,1.03,-0.02,0.45,0.98,0.92,0.71,1.10,1.08,0.00,0.92,-0.16,0.20,1.68,1.42,1.75,2,1,0,0
ME04,MooresEast,Toquima,6.88926,2492,706.82,546.34,316.74,448.06,582.42,390.16,311.91,288.81,267.97,332.99,287.27,520.44,366.53,313.19,245.12,393.7,320.28,486.41,282.45,279.64,352.56,12.00,14.65,13.03,11.77,12.42,14.78,13.46,13.89,14.04,13.67,12.85,13.90,14.09,13.36,13.66,12.50,12.83,14.06,13.58,13.88,-0.38,0.66,0.23,-0.22,-0.25,1.23,0.23,0.48,1.03,1.25,0.98,1.41,1.36,0.39,1.23,0.11,0.59,2.12,1.74,2.11,1,1,0,0
MW01,MooresWest,Toquima,7.82423,2141,686.31,426.46,240.54,354.84,456.44,306.58,243.6,226.07,196.34,260.08,220.47,410.96,277.11,235.2,183.64,294.64,242.05,366.5,219.72,212.33,286.26,13.71,16.43,14.71,13.44,14.14,16.57,15.01,15.57,15.83,15.20,14.38,15.48,15.70,14.96,15.28,14.08,14.44,15.83,15.35,15.63,0.18,1.23,0.81,0.28,0.36,1.68,0.61,1.08,1.58,1.46,1.24,1.69,1.63,0.67,1.48,0.40,0.72,2.16,1.90,2.18,2,1,0,1
MW02,MooresWest,Toquima,7.27079,2242,683.50,426.46,240.54,354.84,456.44,306.58,243.6,226.07,196.34,260.08,220.47,410.96,277.11,235.2,183.64,294.64,242.05,366.5,219.72,212.33,286.26,13.71,16.43,14.71,13.44,14.14,16.57,15.01,15.57,15.83,15.20,14.38,15.48,15.70,14.96,15.28,14.08,14.44,15.83,15.35,15.63,0.18,1.23,0.81,0.28,0.36,1.68,0.61,1.08,1.58,1.46,1.24,1.69,1.63,0.67,1.48,0.40,0.72,2.16,1.90,2.18,1,1,0,0
MW03,MooresWest,Toquima,6.14274,2349,709.08,426.46,240.54,354.84,456.44,306.58,243.6,226.07,196.34,260.08,220.47,410.96,277.11,235.2,183.64,294.64,242.05,366.5,219.72,212.33,286.26,13.71,16.43,14.71,13.44,14.14,16.57,15.01,15.57,15.83,15.20,14.38,15.48,15.70,14.96,15.28,14.08,14.44,15.83,15.35,15.63,0.18,1.23,0.81,0.28,0.36,1.68,0.61,1.08,1.58,1.46,1.24,1.69,1.63,0.67,1.48,0.40,0.72,2.16,1.90,2.18,1,1,0,0
MW04,MooresWest,Toquima,16.9473,2405,926.43,546.34,316.74,448.06,582.42,390.16,311.91,288.81,267.97,332.99,287.27,520.44,366.53,313.19,245.12,393.7,320.28,486.41,282.45,279.64,352.56,12.00,14.65,13.03,11.77,12.42,14.78,13.46,13.89,14.04,13.67,12.85,13.90,14.09,13.36,13.66,12.50,12.83,14.06,13.58,13.88,-0.38,0.66,0.23,-0.22,-0.25,1.23,0.23,0.48,1.03,1.25,0.98,1.41,1.36,0.39,1.23,0.11,0.59,2.12,1.74,2.11,2,1,0,1
MW05,MooresWest,Toquima,2.883,2528,497.49,546.34,316.74,448.06,582.42,390.16,311.91,288.81,267.97,332.99,287.27,520.44,366.53,313.19,245.12,393.7,320.28,486.41,282.45,279.64,352.56,12.00,14.65,13.03,11.77,12.42,14.78,13.46,13.89,14.04,13.67,12.85,13.90,14.09,13.36,13.66,12.50,12.83,14.06,13.58,13.88,-0.38,0.66,0.23,-0.22,-0.25,1.23,0.23,0.48,1.03,1.25,0.98,1.41,1.36,0.39,1.23,0.11,0.59,2.12,1.74,2.11,,,,
NE01,NorthumberlandEast,Toquima,22.4549,2250,773.54,589.79,354.07,476.52,629.42,423.92,343.41,320.78,304.8,359.41,313.69,558.8,410.72,346.7,272.28,439.42,354.34,538.75,316.99,305.03,383.54,11.57,14.26,12.62,11.36,12.01,14.38,12.99,13.48,13.64,13.18,12.38,13.50,13.70,12.96,13.26,12.08,12.35,13.71,13.18,13.49,-0.53,0.52,0.09,-0.36,-0.36,1.06,0.05,0.40,0.93,1.02,0.76,1.10,1.05,-0.06,0.93,-0.09,0.26,1.69,1.43,1.81,,,,
NE02,NorthumberlandEast,Toquima,17.9205,2357,687.60,581.65,345.44,472.7,626.63,417.05,339.86,311.64,301.74,353.05,309.88,550.42,400.8,340.63,267.47,430,346.47,527.55,306.07,297.94,380.26,11.52,14.18,12.56,11.33,11.94,14.32,12.99,13.43,13.56,13.18,12.39,13.45,13.67,12.93,13.23,12.08,12.32,13.61,13.11,13.41,-0.34,0.70,0.28,-0.17,-0.19,1.30,0.34,0.58,1.05,1.30,1.01,1.43,1.40,0.31,1.20,0.18,0.60,2.09,1.77,2.17,,,,
NE03,NorthumberlandEast,Toquima,7.3188,2461,740.12,707.88,443.49,570.49,752.61,517.15,420.12,390.9,385.56,434.85,384.32,662.69,504.19,427.23,343.67,541.04,441.46,659.37,381.76,372.37,454.41,10.32,12.88,11.36,10.12,10.72,12.99,11.91,12.25,12.23,12.15,11.33,12.38,12.56,11.87,12.14,11.08,11.19,12.50,11.94,12.25,-0.80,0.25,-0.18,-0.58,-0.72,0.95,-0.02,0.09,0.56,1.17,0.86,1.23,1.23,0.03,1.03,0.01,0.43,1.75,1.45,1.85,,,,
NE04,NorthumberlandEast,Toquima,4.85502,2593,790.39,707.88,443.49,570.49,752.61,517.15,420.12,390.9,385.56,434.85,384.32,662.69,504.19,427.23,343.67,541.04,441.46,659.37,381.76,372.37,454.41,10.32,12.88,11.36,10.12,10.72,12.99,11.91,12.25,12.23,12.15,11.33,12.38,12.56,11.87,12.14,11.08,11.19,12.50,11.94,12.25,-0.80,0.25,-0.18,-0.58,-0.72,0.95,-0.02,0.09,0.56,1.17,0.86,1.23,1.23,0.03,1.03,0.01,0.43,1.75,1.45,1.85,,,,
NE05,NorthumberlandEast,Toquima,9.65366,2646,910.04,707.88,443.49,570.49,752.61,517.15,420.12,390.9,385.56,434.85,384.32,662.69,504.19,427.23,343.67,541.04,441.46,659.37,381.76,372.37,454.41,10.32,12.88,11.36,10.12,10.72,12.99,11.91,12.25,12.23,12.15,11.33,12.38,12.56,11.87,12.14,11.08,11.19,12.50,11.94,12.25,-0.80,0.25,-0.18,-0.58,-0.72,0.95,-0.02,0.09,0.56,1.17,0.86,1.23,1.23,0.03,1.03,0.01,0.43,1.75,1.45,1.85,,,,
NT01,NorthTwin,Toiyabe,5.39576,2010,640.50,465.07,271.02,400.55,513.33,348.74,280.67,242.3,216.42,300.48,239.01,427.99,311.66,254.01,202.7,313.94,259.59,386.84,228.86,227.34,310.9,12.98,15.59,14.03,12.78,13.37,15.83,14.39,14.88,14.92,14.78,13.91,14.90,15.20,14.46,14.78,13.70,13.93,15.27,14.91,15.17,-0.02,1.08,0.58,0.05,-0.08,1.30,0.53,0.73,1.17,1.35,1.30,1.68,1.35,0.42,1.33,0.28,1.03,1.89,1.65,2.08,,,,
NT02,NorthTwin,Toiyabe,4.31336,2113,802.69,754.12,455.17,644.4,804.15,542.04,458.72,381.76,389.9,492.52,396,680.71,515.6,441.72,349.5,538.22,430.78,647.45,355.09,376.17,475.24,9.31,11.76,10.28,9.09,9.61,11.98,10.79,11.21,11.01,11.48,10.57,11.50,11.79,11.09,11.41,10.43,10.52,11.80,11.38,11.69,-1.90,-0.68,-1.17,-1.78,-1.96,-0.37,-0.98,-0.90,-0.48,0.11,-0.03,0.47,0.28,-0.74,0.12,-1.05,-0.43,0.67,0.03,0.77,,,,
NT03,NorthTwin,Toiyabe,5.58462,2225,755.23,754.12,455.17,644.4,804.15,542.04,458.72,381.76,389.9,492.52,396,680.71,515.6,441.72,349.5,538.22,430.78,647.45,355.09,376.17,475.24,9.31,11.76,10.28,9.09,9.61,11.98,10.79,11.21,11.01,11.48,10.57,11.50,11.79,11.09,11.41,10.43,10.52,11.80,11.38,11.69,-1.90,-0.68,-1.17,-1.78,-1.96,-0.37,-0.98,-0.90,-0.48,0.11,-0.03,0.47,0.28,-0.74,0.12,-1.05,-0.43,0.67,0.03,0.77,,,,
NT04,NorthTwin,Toiyabe,8.38001,2354,794.26,754.12,455.17,644.4,804.15,542.04,458.72,381.76,389.9,492.52,396,680.71,515.6,441.72,349.5,538.22,430.78,647.45,355.09,376.17,475.24,9.31,11.76,10.28,9.09,9.61,11.98,10.79,11.21,11.01,11.48,10.57,11.50,11.79,11.09,11.41,10.43,10.52,11.80,11.38,11.69,-1.90,-0.68,-1.17,-1.78,-1.96,-0.37,-0.98,-0.90,-0.48,0.11,-0.03,0.47,0.28,-0.74,0.12,-1.05,-0.43,0.67,0.03,0.77,,,,
NT05,NorthTwin,Toiyabe,7.54177,2439,726.72,754.12,455.17,644.4,804.15,542.04,458.72,381.76,389.9,492.52,396,680.71,515.6,441.72,349.5,538.22,430.78,647.45,355.09,376.17,475.24,9.31,11.76,10.28,9.09,9.61,11.98,10.79,11.21,11.01,11.48,10.57,11.50,11.79,11.09,11.41,10.43,10.52,11.80,11.38,11.69,-1.90,-0.68,-1.17,-1.78,-1.96,-0.37,-0.98,-0.90,-0.48,0.11,-0.03,0.47,0.28,-0.74,0.12,-1.05,-0.43,0.67,0.03,0.77,,,,
NT06,NorthTwin,Toiyabe,5.59562,2547,780.03,931.41,555.75,829.06,997.73,683.25,578.61,464.33,495.04,615.18,492.25,833.63,637.03,564.13,431.29,688.84,534.92,798.57,439.44,476,583.7,8.49,10.98,9.47,8.28,8.80,11.18,10.02,10.43,10.23,10.72,9.85,10.74,11.06,10.38,10.65,9.68,9.78,11.07,10.54,10.93,-2.50,-1.38,-1.75,-2.39,-2.59,-0.91,-1.61,-1.53,-1.12,-0.36,-0.66,-0.06,-0.11,-1.22,-0.32,-1.48,-1.02,0.14,-0.54,0.24,,,,
NT07,NorthTwin,Toiyabe,3.23016,2663,827.06,931.41,555.75,829.06,997.73,683.25,578.61,464.33,495.04,615.18,492.25,833.63,637.03,564.13,431.29,688.84,534.92,798.57,439.44,476,583.7,8.49,10.98,9.47,8.28,8.80,11.18,10.02,10.43,10.23,10.72,9.85,10.74,11.06,10.38,10.65,9.68,9.78,11.07,10.54,10.93,-2.50,-1.38,-1.75,-2.39,-2.59,-0.91,-1.61,-1.53,-1.12,-0.36,-0.66,-0.06,-0.11,-1.22,-0.32,-1.48,-1.02,0.14,-0.54,0.24,,,,
NT08,NorthTwin,Toiyabe,5.70018,2788,775.32,931.41,555.75,829.06,997.73,683.25,578.61,464.33,495.04,615.18,492.25,833.63,637.03,564.13,431.29,688.84,534.92,798.57,439.44,476,583.7,8.49,10.98,9.47,8.28,8.80,11.18,10.02,10.43,10.23,10.72,9.85,10.74,11.06,10.38,10.65,9.68,9.78,11.07,10.54,10.93,-2.50,-1.38,-1.75,-2.39,-2.59,-0.91,-1.61,-1.53,-1.12,-0.36,-0.66,-0.06,-0.11,-1.22,-0.32,-1.48,-1.02,0.14,-0.54,0.24,,,,
NW01,NorthumberlandWest,Toquima,15.2614,2098,771.35,430.28,241.3,344.68,467.61,307.09,248.91,229.62,212.36,266.46,226.58,405.12,281.95,239.78,188.21,299.98,246.36,375.42,220.48,209.56,298.18,13.77,16.49,14.81,13.61,14.27,16.68,15.18,15.70,15.93,15.31,14.54,15.73,15.89,15.15,15.47,14.26,14.59,16.00,15.48,15.78,0.41,1.49,1.07,0.57,0.65,1.99,0.98,1.40,1.90,1.78,1.55,1.86,1.82,0.61,1.70,0.78,0.95,2.43,2.17,2.54,,,,
NW02,NorthumberlandWest,Toquima,12.9686,2222,763.08,557.29,328.67,449.33,603.77,404.12,324.62,303.78,293.62,342.63,298.96,520.95,382.27,325.62,256.8,410.2,332.73,504.2,293.38,283.21,371.84,12.03,14.71,13.09,11.88,12.52,14.88,13.57,14.01,14.13,13.72,12.94,14.08,14.27,13.53,13.82,12.68,12.93,14.27,13.74,14.05,0.03,1.10,0.68,0.22,0.24,1.70,0.72,1.03,1.48,1.63,1.36,1.70,1.66,0.55,1.55,0.60,0.84,2.35,1.98,2.43,,,,
NW03,NorthumberlandWest,Toquima,6.15512,2332,740.84,649.23,392.67,517.66,688.59,465.84,379.25,350.78,344.18,394.2,345.94,603.53,451.1,384.3,305.05,483.85,393.2,592.31,336.82,331.48,418.09,10.81,13.40,11.88,10.63,11.23,13.53,12.46,12.80,12.77,12.64,11.85,12.90,13.08,12.37,12.64,11.58,11.70,12.98,12.48,12.76,-0.54,0.50,0.08,-0.34,-0.43,1.24,0.27,0.38,0.84,1.41,1.12,1.46,1.53,0.33,1.27,0.24,0.68,2.05,1.70,2.13,,,,
